coldata$id X3543.CF.1 X3543.CF.198 X3543.CF.221 X3543.CF.274 X3543.CF.249 X3543.CF.145 X3543.CF.294 X3543.CF.253 X3543.CF.201
ENSG00000019505 0 0 0 0 0 6 0 0 0
ENSG00000019549 0 0 0 0 0 0 0 0 0
ENSG00000019582 11535 25617 10713 21591 33218 24755 23095 35097 24090
ENSG00000019991 94 133 130 127 159 44 139 209 125
ENSG00000019995 184 305 263 343 272 133 268 441 267
ENSG00000020129 112 143 105 123 144 80 193 234 116
ENSG00000020181 129 110 56 83 100 70 68 150 118
ENSG00000020219 0 0 0 0 1 0 1 0 0
ENSG00000020256 79 147 63 109 122 112 141 246 160
ENSG00000020426 10 47 41 31 73 22 94 111 37
ENSG00000020577 69 83 62 57 165 73 214 145 85
ENSG00000020633 305 733 634 997 1738 1263 1868 2178 1460
ENSG00000020922 169 430 290 331 564 171 416 615 433
ENSG00000021300 9 27 26 18 36 20 28 32 30
ENSG00000021355 2095 1117 2015 1164 1073 894 967 2489 1346
ENSG00000021488 0 0 0 0 0 0 0 0 3
ENSG00000021574 281 275 299 346 382 197 302 523 238
ENSG00000021645 2 0 0 0 0 0 0 0 0
ENSG00000021762 291 403 308 301 505 333 704 815 495
ENSG00000021776 395 570 536 686 901 450 742 1048 679
ENSG00000021826 1 0 0 0 0 0 0 0 2
ENSG00000021852 0 0 0 0 0 0 0 0 0
ENSG00000022267 977 291 1394 563 246 239 52 457 93
ENSG00000022277 454 525 515 541 615 388 565 813 559
ENSG00000022355 0 1 0 0 0 0 0 0 0
ENSG00000022556 14 31 12 21 76 72 17 103 1
ENSG00000022567 235 140 247 168 227 133 253 328 146
ENSG00000022840 1393 1036 1469 1763 1277 902 1079 1862 819
ENSG00000022976 53 89 63 67 69 42 70 108 86
ENSG00000023041 131 168 232 149 261 138 244 287 252
ENSG00000023171 148 286 124 159 370 230 394 428 295
ENSG00000023191 889 1290 1203 953 1455 1008 1014 1735 1093
ENSG00000023228 447 510 509 620 671 499 609 1008 585
ENSG00000023287 575 752 643 644 866 311 829 1126 787
ENSG00000023318 481 493 467 600 801 309 636 1141 628
ENSG00000023330 202 168 207 204 273 294 238 352 343
ENSG00000023445 342 371 201 382 506 282 511 714 528
ENSG00000023516 366 644 431 666 872 414 767 1369 845
ENSG00000023572 52 85 50 83 159 37 136 137 111
ENSG00000023608 30 45 49 39 40 29 23 54 36
ENSG00000023697 311 180 390 163 192 174 118 271 74
ENSG00000023734 312 222 422 241 264 189 218 525 236
ENSG00000023839 6 15 9 11 22 9 6 20 14
ENSG00000023892 832 1475 1076 1093 1497 1414 1659 2080 1614
ENSG00000023902 1837 1687 2059 1663 2112 1487 1342 2195 1578
ENSG00000023909 266 143 265 172 155 64 117 227 107
ENSG00000024048 798 1099 1171 941 1345 688 1264 1917 1318
ENSG00000024422 27 0 45 15 4 0 0 8 11
ENSG00000024526 16 3 7 64 32 2 2 47 5
ENSG00000024862 86 97 118 169 206 59 128 262 131
ENSG00000025039 154 75 113 121 128 70 125 203 137
ENSG00000025156 59 55 29 48 118 31 101 125 68
ENSG00000025293 389 571 465 501 594 426 535 998 612
ENSG00000025423 0 6 0 0 4 0 1 1 0
ENSG00000025434 25 67 29 36 61 18 33 93 32
ENSG00000025708 2247 4525 3852 3128 5754 2946 7147 7318 4363
ENSG00000025770 88 151 134 136 256 122 183 236 162
ENSG00000025772 30 70 49 92 95 59 77 91 57
ENSG00000025796 511 521 491 529 690 227 528 758 617
ENSG00000025800 386 497 415 538 634 452 558 873 524
ENSG00000026025 14137 9714 11135 5674 11520 6432 7639 14483 10196
ENSG00000026036 49 72 61 40 107 32 82 161 79
ENSG00000026103 277 216 471 267 296 103 325 456 236
ENSG00000026297 746 1485 1036 947 1632 973 1198 1885 1064
ENSG00000026508 4385 5987 5505 4698 7580 4769 4232 9310 7134
ENSG00000026559 1 0 0 5 0 9 0 0 0
ENSG00000026652 166 272 195 117 503 92 355 435 248
ENSG00000026751 67 174 454 576 1323 596 682 1023 730
ENSG00000026950 255 708 611 620 1107 635 1212 1244 963
ENSG00000027001 19 39 13 3 28 19 49 24 39
ENSG00000027075 164 529 420 783 1517 790 1278 1687 939
ENSG00000027644 0 6 0 0 1 0 3 0 0
ENSG00000027697 1607 1203 1908 1129 1196 636 1043 2674 1063
ENSG00000027847 75 126 68 87 107 81 125 125 117
ENSG00000027869 45 134 92 172 186 284 261 539 205
ENSG00000028116 178 178 148 215 324 87 254 318 213
ENSG00000028137 2609 4623 3410 2925 5191 2931 4178 7513 4100
ENSG00000028203 207 258 181 214 310 89 207 319 213
ENSG00000028277 793 1303 1184 1062 1834 802 1088 1616 1363
ENSG00000028310 242 415 246 243 456 227 437 527 326
ENSG00000028528 612 772 932 697 1067 547 842 1290 860
ENSG00000028839 218 127 226 107 135 90 105 228 101
ENSG00000029153 53 34 28 40 42 29 15 77 32
ENSG00000029363 1640 1737 1135 1411 2060 660 1600 2259 1680
ENSG00000029364 353 358 406 321 339 267 352 580 319
ENSG00000029534 1658 473 2189 1350 331 312 163 766 94
ENSG00000029639 30 46 32 54 50 85 51 97 62
ENSG00000029725 455 734 549 791 1177 488 959 1370 828
ENSG00000029993 67 13 31 30 66 56 19 69 5
ENSG00000030066 211 342 181 298 452 267 340 528 350
ENSG00000030110 108 115 118 112 302 165 177 334 116
ENSG00000030304 11 5 1 0 0 0 3 2 0
ENSG00000030419 42 168 34 150 245 110 157 490 444
ENSG00000030582 7193 6141 5844 3710 6084 4542 5835 9974 6466
ENSG00000031003 565 686 593 754 881 329 794 1010 587
ENSG00000031081 468 720 534 569 684 373 680 901 641
ENSG00000031691 12 9 3 16 24 1 17 24 10
ENSG00000031698 334 607 493 474 727 425 530 850 536
ENSG00000031823 267 381 301 334 511 258 353 602 332
ENSG00000032219 380 661 465 495 764 232 694 899 601
ENSG00000032389 73 75 64 79 140 79 82 159 125
ENSG00000032444 865 905 1204 768 1530 788 1106 2133 1002
ENSG00000032742 32 69 58 81 81 42 49 109 38
ENSG00000033011 41 84 38 62 92 115 66 113 67
ENSG00000033030 176 212 201 201 296 147 311 429 324
ENSG00000033050 146 187 134 194 202 187 202 308 137
ENSG00000033100 310 363 365 336 405 165 387 673 331
ENSG00000033122 13 0 2 1 11 0 4 1 1
ENSG00000033170 429 282 452 207 265 250 200 422 168
ENSG00000033178 310 385 338 428 676 239 517 754 451
ENSG00000033327 954 1102 1013 558 689 409 695 1700 676
ENSG00000033627 534 438 722 334 416 223 437 590 396
ENSG00000033800 869 962 786 740 1008 494 1004 1449 1010
ENSG00000033867 172 342 184 517 641 258 523 739 479
ENSG00000034053 43 123 185 195 198 190 207 150 171
ENSG00000034152 1288 915 1550 1261 869 598 616 1175 744
ENSG00000034510 2066 3097 2043 3653 4476 2556 2938 4937 2973
ENSG00000034533 13 77 72 66 81 41 78 120 98
ENSG00000034677 300 446 359 399 719 266 671 718 565
ENSG00000034693 29 32 33 62 68 37 53 67 79
ENSG00000034713 710 368 799 834 444 325 317 731 357
